Nombre,Superficie,Poblacion,Continente
Afganistán,652230,41128771,Asia
Albania,28748,2832439,Europa
Alemania,357022,84552242,Europa
Andorra,468,79535,Europa
Angola,1246700,36684202,África
Antigua y Barbuda,442,93219,América
Arabia Saudita,2149690,36947025,Asia
Argelia,2381741,45606480,África
Argentina,2780400,45773884,América
Armenia,29743,2777970,Asia
Australia,7692024,26439111,Oceanía
Austria,83871,9120813,Europa
Azerbaiyán,86600,10412651,Asia
Bahamas,13880,409984,América
Bahrein,760,1748296,Asia
Bangladés,147570,172954319,Asia
Barbados,430,281995,América
Bélgica,30528,11686140,Europa
Belice,22966,405272,América
Benín,112622,13712828,África
Bielorrusia,207600,9498238,Europa
Birmania,676578,55227143,Asia
Bolivia,1098581,12388571,América
Bosnia y Herzegovina,51197,3210847,Europa
Botsuana,582000,2675352,África
Brasil,8514877,216422446,América
Brunéi,5765,449002,Asia
Bulgaria,110879,6687717,Europa
Burkina Faso,274200,23251485,África
Burundi,27830,13238559,África
Bután,38394,787424,Asia
Cabo Verde,4033,598682,África
Camboya,181035,16944826,Asia
Camerún,475440,28647293,África
Canadá,9984670,39742430,América
Catar,11586,2716391,Asia
Chad,1284000,18278568,África
Chile,756096,19629590,América
China,9596961,1416096097,Asia
Chipre,9251,1260138,Europa
Colombia,1141748,52085168,América
Comoras,2235,852075,África
Congo,342000,6106869,África
Corea del Norte,120538,26160821,Asia
Corea del Sur,99720,51784059,Asia
Costa de Marfil,322463,28713423,África
Costa Rica,51100,5212173,América
Croacia,56594,3853200,Europa
Cuba,109884,11194449,América
Dinamarca,43094,5910913,Europa
Djibouti,23200,1136455,África
Dominica,751,72737,América
Ecuador,283561,18190484,América
Egipto,1001450,112716598,África
El Salvador,21041,6364943,América
Emiratos Árabes Unidos,83600,9516871,Asia
Eritrea,117600,3748901,África
Eslovaquia,49035,5428792,Europa
Eslovenia,20273,2117641,Europa
España,505370,47519628,Europa
Estados Unidos,9833517,341814420,América
Estonia,45228,1322765,Europa
Eswatini,17364,1210822,África
Etiopía,1104300,126527060,África
Filipinas,300000,117337368,Asia
Finlandia,338424,5545475,Europa
Fiyi,18274,936375,Oceanía
Francia,643801,68521974,Europa
Gabón,267667,2436566,África
Gambia,11295,2736990,África
Georgia,69700,3728282,Asia
Ghana,238533,34121985,África
Granada,344,126183,América
Grecia,131957,10413936,Europa
Guatemala,108889,18092026,América
Guinea,245857,14190612,África
Guinea-Bisáu,36125,2150842,África
Guinea Ecuatorial,28051,1714671,África
Guyana,214969,813834,América
Haití,27750,11724763,América
Honduras,112090,10593798,América
Hungría,93028,9676135,Europa
India,3287263,1463865525,Asia
Indonesia,1904569,279798049,Asia
Irak,438317,46042015,Asia
Irán,1648195,87590873,Asia
Irlanda,70273,5255017,Europa
Islandia,103000,375318,Europa
Islas Marshall,181,41996,Oceanía
Islas Salomón,28896,740424,Oceanía
Israel,20770,9756700,Asia
Italia,301340,58761146,Europa
Jamaica,10991,2825544,América
Japón,377915,123294513,Asia
Jordania,89342,11337052,Asia
Kazajistán,2724900,20592571,Asia
Kenia,580367,55100586,África
Kirguistán,199951,7000000,Asia
Kiribati,811,133515,Oceanía
Kuwait,17818,4310108,Asia
Laos,236800,7633779,Asia
Lesoto,30355,2330318,África
Letonia,64589,1830211,Europa
Líbano,10400,5353930,Asia
Liberia,111369,5418377,África
Libia,1759540,6958532,África
Liechtenstein,160,39584,Europa
Lituania,65300,2718352,Europa
Luxemburgo,2586,654768,Europa
Macedonia del Norte,25713,2085679,Europa
Madagascar,587041,30325732,África
Malasia,329847,34308525,Asia
Malaui,118484,20931751,África
Maldivas,298,521021,Asia
Malí,1240192,23293698,África
Malta,316,535064,Europa
Marruecos,446550,37840044,África
Mauricio,2040,1300557,África
Mauritania,1030700,4862989,África
México,1964375,128455567,América
Micronesia,702,114164,Oceanía
Moldavia,33851,2512758,Europa
Mónaco,2,36686,Europa
Mongolia,1564110,3447157,Asia
Montenegro,13812,626485,Europa
Mozambique,799380,33897354,África
Namibia,824292,2604172,África
Nauru,21,12668,Oceanía
Nepal,147181,30896590,Asia
Nicaragua,130370,7046310,América
Níger,1267000,27202843,África
Nigeria,923768,230842743,África
Noruega,323802,5474360,Europa
Nueva Zelanda,267710,5228100,Oceanía
Omán,309500,4644384,Asia
Países Bajos,41543,17564014,Europa
Pakistán,796095,240485658,Asia
Palaos,459,18058,Oceanía
Panamá,75420,4468087,América
Papúa Nueva Guinea,462840,10329931,Oceanía
Paraguay,406752,6861524,América
Perú,1285216,33715471,América
Polonia,312696,36753736,Europa
Portugal,92090,10247605,Europa
Reino Unido,243610,67736802,Europa
República Centroafricana,622984,5742315,África
República Checa,78867,10735859,Europa
República del Congo,2344858,102262808,África
República Dominicana,48670,11332972,América
República Sudafricana,1221037,60756135,África
Ruanda,26338,14256567,África
Rumania,238391,18326327,Europa
Rusia,17098242,144444359,Europa
Samoa,2831,205557,Oceanía
San Cristóbal y Nieves,261,47755,América
San Marino,61,35407,Europa
San Vicente y las Granadinas,389,103698,América
Santa Lucía,616,180251,América
Santo Tomé y Príncipe,964,231856,África
Senegal,196722,18384660,África
Serbia,77474,6693375,Europa
Seychelles,455,107118,África
Sierra Leona,71740,8791092,África
Singapur,719,6014723,Asia
Siria,185180,23227014,Asia
Somalia,637657,18143378,África
Sri Lanka,65610,21893579,Asia
Sudán,1861484,48109006,África
Sudán del Sur,644329,11088796,África
Suecia,450295,10606999,Europa
Suiza,41277,8921981,Europa
Surinam,163820,623236,América
Tailandia,513120,71697030,Asia
Taiwán,35980,23213962,Asia
